date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:57	20776/20776	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:33%20GMT	https://demo.dashboardpack.com/marketing-html/State_color.html	F:/nova/template/demo.dashboardpack.com/marketing-html/State_color.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:57	28669/28669	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:43%20GMT	https://demo.dashboardpack.com/marketing-html/typography.html	F:/nova/template/demo.dashboardpack.com/marketing-html/typography.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:58	18704/18704	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:36%20GMT	https://demo.dashboardpack.com/marketing-html/datepicker.html	F:/nova/template/demo.dashboardpack.com/marketing-html/datepicker.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:58	1129/1129	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba3d-469%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/4.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/4.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:55:58	22192/22192	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:32%20GMT	https://demo.dashboardpack.com/marketing-html/Basic_Elements.html	F:/nova/template/demo.dashboardpack.com/marketing-html/Basic_Elements.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:58	26939/26939	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:44%20GMT	https://demo.dashboardpack.com/marketing-html/Groups.html	F:/nova/template/demo.dashboardpack.com/marketing-html/Groups.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:59	19586/19586	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:30%20GMT	https://demo.dashboardpack.com/marketing-html/Max_Length.html	F:/nova/template/demo.dashboardpack.com/marketing-html/Max_Length.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:59	24442/24442	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:28%20GMT	https://demo.dashboardpack.com/marketing-html/Layouts.html	F:/nova/template/demo.dashboardpack.com/marketing-html/Layouts.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:59	1088/1088	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba3e-440%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/5.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/5.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:55:59	22265/22265	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:42%20GMT	https://demo.dashboardpack.com/marketing-html/Fontawesome_Icon.html	F:/nova/template/demo.dashboardpack.com/marketing-html/Fontawesome_Icon.html	(from https://demo.dashboardpack.com/marketing-html/)
